IATA2,Name,Country
WW,Bmibaby,United Kingdom
WX,CityJet,Ireland
WY,Oman Air,Oman
WZ,West African Airlines,Benin
X3,Hapag-Lloyd Express (TUIfly),Germany
X7,Chitaavia,Russia
X9,Avion Express,Lithuania
XC,Corendon Airlines,Turkey
XF,Vladivostok Air,Russia
XG,Clickair,Spain
XJ,Thai AirAsia X,Thailand
XK,Corse Méditerranée,France
XL,Aerolane,Ecuador
XM,J-Air,Japan
XN,XpressAir,Indonesia
XO,China Xinhua Airlines,China
XP,Xtra Airways,United States
XQ,SunExpress,Turkey
XS,SITA,Belgium
XT,SkyStar Airways,Thailand
XW,NokScoot,Thailand
Y0,Yellow Air Taxi/Friendship Airways,United States
Y2,Alliance Air,Uganda
Y5,Golden Myanmar Airlines,Myanmar
Y6,Batavia Air,Indonesia
Y8,Yangtze River Express,China
Y9,Kish Air,Iran
YB,Borajet,Turkey
YE,Aryan Cargo Express,India
YH,West Caribbean Airways,Colombia
YK,Cyprus Turkish Airlines,Turkey
YL,Yamal Airlines,Russia
YM,Montenegro Airlines,Montenegro
YQ,TAR Aerolineas,Mexico
YS,Régional Compagnie Aérienne Européenne,France
YV,Mesa Airlines,United States
YW,Air Nostrum,Spain
YX,Midwest Airlines,United States
Z2,EZD,Philippines
Z3,Avient Aviation,Zimbabwe
Z5,GMG Airlines,Bangladesh
Z6,Dniproavia,Ukraine
Z8,Línea Aérea Amaszonas,Bolivia
ZA,Interavia Airlines,Russia
ZB,Monarch Airlines,United Kingdom
ZE,Eastar Jet,South Korea
ZG,Viva Macau,Macao
ZH,Shenzhen Airlines,China
ZI,Aigle Azur,France
ZK,Great Lakes Airlines,United States
ZL,Regional Express,Australia
ZP,Amaszonas Paraguay,Paraguay
ZS,Sama Airlines,Saudi Arabia
ZT,Titan Airways,United Kingdom
ZU,Helios Airways,Cyprus
ZW,Air Wisconsin,United States
ZX,Air Georgian,Canada
ZY,Sky Airlines,Turkey
